Change ID,Snapshot Date,Inactive Ingredient,Route of Administration,Dosage Form,Maximum Potency per Unit Dose,Maximum Daily Exposure,Maximum Daily Exposure UOM,Status
2318,Q1 2026,"FATTY ACID ESTERS, SATURATED",ORAL,"CAPSULE, COATED PELLETS",0.20 mg,,,D
2438,Q1 2026,FD&C RED NO. 40,ORAL,"TABLET, DELAYED RELEASE",0.45 mg,,,D
2546,Q1 2026,FERRIC OXIDE RED,ORAL,"CAPSULE, LIQUID FILLED",0.62 mg,1,mg,D
2569,Q1 2026,FERRIC OXIDE YELLOW,ORAL,"CAPSULE, LIQUID FILLED",0.62 mg,1,mg,D
2625,Q1 2026,FLAVOR BUBBLE GUM MC-4938,ORAL,SUSPENSION,18.00 mg/ 5.00 ml,,,D
2859,Q1 2026,FORMIC ACID,INTRAVENOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",6.00 %w/v,,,D
3075,Q1 2026,GLYCERYL MONOCITRATE,TOPICAL,CREAM,0.05 %w/w,,,D
3171,Q1 2026,HAMAMELIS VIRGINIANA TOP WATER,TOPICAL,CREAM,50.98 %w/w,,,D
3172,Q1 2026,HARD FAT,ORAL,"CAPSULE, LIQUID FILLED",76.50 mg,153,mg,D
3206,Q1 2026,HORNSTEDTIA COSTATA SEED,ORAL,ELIXIR,2.50 mg/ 5.00 ml,,,D
3385,Q1 2026,HYDROGENATED COTTONSEED OIL,ORAL,"TABLET, COATED",0.60 mg,,,D
3620,Q1 2026,HYPROMELLOSE 2906 (4 MPA.S),ORAL,POWDER,45.59 mg,91,mg,D
3696,Q1 2026,HYPROMELLOSE 2910 (5 MPA.S),ORAL,"GRANULE, FOR SUSPENSION",24.08 mg,48,mg,D
3891,Q1 2026,KARAYA GUM,BUCCAL,"FILM, EXTENDED RELEASE",68.10 mg,58,mg,D
3901,Q1 2026,LACTIC ACID,ORAL,"CAPSULE, LIQUID FILLED",44.00 mg,,,D
4252,Q1 2026,MAGNESIUM STEARATE,ORAL,"CAPSULE, COATED PELLETS",0.15 mg,,,D
4412,Q1 2026,MEDIUM-CHAIN TRIGLYCERIDES,ORAL,"CAPSULE, LIQUID FILLED",161.10 mg,866,mg,D
4527,Q1 2026,METHYL ACRYLATE - METHYL METHACRYLATE,ORAL,"TABLET, EXTENDED RELEASE",NA,,,D
4638,Q1 2026,METHYLPARABEN,ORAL,"TABLET, FILM COATED",0.23 mg,,,D
4832,Q1 2026,N-PHENYL-1-NAPTHYLAMINE,RESPIRATORY (INHALATION),LIQUID,0.01 %w/w,,,D
4887,Q1 2026,OPACODE NS-78-17821 WB BLACK,ORAL,CAPSULE,NA,,,D
4974,Q1 2026,OPADRY 03B34399 PINK,ORAL,TABLET,19.05 mg,,,D
5021,Q1 2026,OPADRY 05B11781 GREEN,ORAL,TABLET,7.00 mg,,,D
5022,Q1 2026,OPADRY 05B15325 RED,ORAL,TABLET,5.00 mg,,,D
5050,Q1 2026,OPADRY 85G93096 ORANGE,ORAL,TABLET,4.53 mg,,,D
5145,Q1 2026,OPADRY II 85G66895 BROWN,ORAL,"TABLET, EXTENDED RELEASE",18.00 mg,,,D
5168,Q1 2026,OPADRY II Y-22-10764 BLUE,ORAL,TABLET,15.00 mg,,,D
5179,Q1 2026,OPADRY II Y-22-13167 ORANGE,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",17.19 mg,34,mg,D
5201,Q1 2026,OPADRY II Y-30-12736A YELLOW,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",7.00 mg,,,D
5392,Q1 2026,OPADRY YS-1-2465,ORAL,TABLET,1.75 mg,,,D
5547,Q1 2026,OPASPRAY K-1-1437,ORAL,TABLET,NA,,,D
5814,Q1 2026,PHOSPHOLIPID,INTRAVENOUS,INJECTION,NA,,,D
5815,Q1 2026,PHOSPHOLIPID,INTRAVENOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",120.00 mg,,,D
5928,Q1 2026,POLYDEXTROSE K,ORAL,"TABLET, FILM COATED",8.13 mg,,,D
6281,Q1 2026,POLYSORBATE 60,TOPICAL,AEROSOL,0.42 %w/w,,,D
6354,Q1 2026,POLYSORBATE 80,SOFT TISSUE,INJECTION,0.19 %w/v,4,mg,D
6443,Q1 2026,POTASSIUM CHLORIDE,ORAL,POWDER,0.18 mg,,,D
6446,Q1 2026,POTASSIUM CHLORIDE,ORAL,"TABLET, EXTENDED RELEASE",9.90 mg,13,mg,D
6452,Q1 2026,POTASSIUM CITRATE,TOPICAL,AEROSOL,0.26 %w/w,,,D
6680,Q1 2026,PROPYLENE GLYCOL,ORAL,"CAPSULE, LIQUID FILLED",17.70 mg,42,mg,D
6805,Q1 2026,PROPYLPARABEN,ORAL,"TABLET, FILM COATED",0.04 mg,,,D
6858,Q1 2026,RICINOLEIC ACID,VAGINAL,GEL,1.00 %w/w,,,D
7075,Q1 2026,SIMETHICONE,ORAL,"CAPSULE, COATED PELLETS",0.61 mg,,,D
7146,Q1 2026,SODIUM ACETATE,SUBCUTANEOUS,SOLUTION,0.02 %w/v,,,D
7195,Q1 2026,SODIUM BENZOATE,ORAL,LIQUID,10.13 mg/ 10.00 ml,61,mg,D
7230,Q1 2026,SODIUM BICARBONATE,ORAL,"CAPSULE, EXTENDED RELEASE",0.72 mg,4,mg,D
7444,Q1 2026,SODIUM CHLORIDE,SOFT TISSUE,INJECTION,0.90 %w/v,,,D
7477,Q1 2026,SODIUM DITHIONATE,INTRAMUSCULAR,"INJECTION, SOLUTION",0.32 %w/v,48,mg,D
7478,Q1 2026,SODIUM DITHIONATE,INTRAVENOUS,"INJECTION, SOLUTION",0.32 %w/v,48,mg,D
7775,Q1 2026,"SODIUM METAPHOSPHATE, INSOLUBLE",TOPICAL,SOAP,1.44 %w/w,,,D
8077,Q1 2026,SODIUM SALICYLATE,INTRAMUSCULAR,INJECTION,250.00 mg,,,D
8081,Q1 2026,SODIUM STARCH GLYCOLATE TYPE A,ORAL,"CAPSULE, COATED PELLETS",16.71 mg,,,D
8123,Q1 2026,SODIUM SULFATE,OPHTHALMIC,SUSPENSION,0.25 %w/v,1,mg,D
8175,Q1 2026,SODIUM TRIPOLYPHOSPHATE,ORAL,TABLET,8.00 mg,16,mg,D
8270,Q1 2026,SORBITOL,ORAL,"CAPSULE, LIQUID FILLED",24.94 mg,25,mg,D
8316,Q1 2026,SORBITOL SPECIAL POLYOL SOLUTION,ORAL,"CAPSULE, LIQUID FILLED",NA,,,D
